City_ID,City,Lat,Lng,Max Temp,Humidity,Current Description,Cloudiness,Wind Speed,Country,Date
193,Antofagasta,-23.65,-70.4,62.6,77,clear sky,0,11.5,CL,2021-03-30 00:20:25
194,Saint-Honore,48.5334,-71.0824,25.0,74,broken clouds,59,19.57,CA,2021-03-30 00:21:38
195,Hithadhoo,-0.6,73.0833,83.91,72,overcast clouds,100,23.47,MV,2021-03-30 00:15:22
196,Muros,42.7762,-9.0603,54.0,82,overcast clouds,85,8.05,ES,2021-03-30 00:21:39
197,Barrow,71.2906,-156.7887,-0.4,65,snow,1,27.63,US,2021-03-30 00:15:11
198,Pangnirtung,66.1451,-65.7125,13.03,95,light snow,100,3.13,CA,2021-03-30 00:15:40
199,Tabory,58.5198,64.5495,9.48,97,broken clouds,64,3.02,RU,2021-03-30 00:19:28
200,Carnarvon,-24.8667,113.6333,78.8,89,broken clouds,62,12.66,AU,2021-03-30 00:15:52
201,Vezirkopru,41.1436,35.4547,39.2,75,broken clouds,75,18.41,TR,2021-03-30 00:21:40
202,Vila Franca Do Campo,37.7167,-25.4333,60.8,88,scattered clouds,40,14.97,PT,2021-03-30 00:18:16
203,Myitkyina,25.3833,97.4,62.26,35,clear sky,2,2.64,MM,2021-03-30 00:21:41
204,Khash,28.2211,61.2158,52.29,33,clear sky,7,6.02,IR,2021-03-30 00:21:41
205,Sinnamary,5.3833,-52.95,77.61,86,overcast clouds,93,14.54,GF,2021-03-30 00:15:33
206,Buritis,-15.6178,-46.4233,74.84,56,few clouds,16,3.22,BR,2021-03-30 00:18:09
207,Shingu,33.7333,135.9833,64.4,68,broken clouds,75,4.61,JP,2021-03-30 00:16:33
208,Kosh-Agach,50.0,88.6667,1.81,90,clear sky,9,4.36,RU,2021-03-30 00:21:43
209,Victoria,22.2855,114.1577,78.01,85,few clouds,24,1.01,HK,2021-03-30 00:13:24
210,Dolny Kubin,49.2098,19.3034,45.0,94,light rain,100,1.01,SK,2021-03-30 00:21:44
211,Chaplynka,46.3651,33.5403,41.88,84,broken clouds,72,10.78,UA,2021-03-30 00:21:44
212,Pemangkat,1.1667,108.9667,78.03,85,overcast clouds,99,3.58,ID,2021-03-30 00:21:14
213,Matamoros,25.5333,-103.25,80.6,29,broken clouds,75,9.91,MX,2021-03-30 00:21:45
214,Qingdao,36.0986,120.3719,55.99,44,clear sky,0,2.24,CN,2021-03-30 00:21:45
215,Anadyr,64.75,177.4833,6.8,85,snow,75,17.9,RU,2021-03-30 00:19:33
216,Zempoala,19.45,-96.4167,73.99,78,broken clouds,75,13.8,MX,2021-03-30 00:21:46
217,Ancud,-41.8697,-73.8203,59.0,77,clear sky,0,9.22,CL,2021-03-30 00:18:48
218,Leszno,51.8403,16.5749,54.0,70,overcast clouds,98,1.99,PL,2021-03-30 00:21:12
219,East London,-33.0153,27.9116,68.74,90,light rain,98,15.55,ZA,2021-03-30 00:16:30
220,Urengoy,65.9667,78.3667,-0.15,97,overcast clouds,100,2.57,RU,2021-03-30 00:21:47
221,Umm Lajj,25.0213,37.2685,71.29,57,broken clouds,71,8.9,SA,2021-03-30 00:21:47
222,Beloha,-25.1667,45.05,67.73,86,light rain,3,4.36,MG,2021-03-30 00:21:44
223,Poum,-20.2333,164.0167,79.92,75,light rain,91,8.84,NC,2021-03-30 00:21:47
224,Arman,59.7,150.1667,24.66,68,overcast clouds,100,6.33,RU,2021-03-30 00:21:48
225,Walvis Bay,-22.9575,14.5053,61.0,82,clear sky,7,5.75,NA,2021-03-30 00:21:49
226,Kanniyakumari,8.0833,77.5667,80.53,79,broken clouds,70,11.21,IN,2021-03-30 00:21:49
